#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"givenName";"sn";"displayName";"mail";"telephoneNumber"
"Julie";"PRIGENT";"PRIGENT Julie";"julie.prigent@stesio.jol";"0159000373"
"Caroline";"PARMENTIER";"PARMENTIER Caroline";"caroline.parmentier@stesio.jol";"0159000383"
"Eva";"DUCLOS";"DUCLOS Eva";"eva.duclos@stesio.jol";"0459000393"
"Enzo";"HAMEL";"HAMEL Enzo";"enzo.hamel@stesio.jol";"0459000403"
"Pierre";"COMTE";"COMTE Pierre";"pierre.comte@stesio.jol";"0459000413"
"Julie";"SIMONIN";"SIMONIN Julie";"julie.simonin@stesio.jol";"0159000773"
"Caroline";"DE PLATEL";"DE PLATEL Caroline";"caroline.deplatel@stesio.jol";"0159000783"
"Eva";"REDON";"REDON Eva";"eva.redon@stesio.jol";"0159000793"
"Enzo";"LARCHER";"LARCHER Enzo";"enzo.larcher@stesio.jol";"0159000803"
"Pierre";"MANCEAU";"MANCEAU Pierre";"pierre.manceau@stesio.jol";"0159000813"
"Jean-Baptiste";"LE FLOC'H";"LE FLOC'H Jean-Baptiste";;
"Enzo";"THOMAS";"THOMAS Enzo";"enzo.thomas@stesio.jol";"0159000003"
"Pierre";"LEFEBVRE";"LEFEBVRE Pierre";"pierre.lefebvre@stesio.jol";"0159000013"
"Maxime";"LAMBERT";"LAMBERT Maxime";"maxime.lambert@stesio.jol";"0159000023"
"Camille";"WEBER";"WEBER Camille";"camille.weber@stesio.jol";"0159000163"
"Julie";"ETIENNE";"ETIENNE Julie";"julie.etienne@stesio.jol";"0159000173"
"Caroline";"LEMAITRE";"LEMAITRE Caroline";"caroline.lemaitre@stesio.jol";"0159000183"
"Eva";"PICHON";"PICHON Eva";"eva.pichon@stesio.jol";"0159000193"
"Enzo";"OLLIVIER";"OLLIVIER Enzo";"enzo.ollivier@stesio.jol";"0159000203"
"Camille";"GALLET";"GALLET Camille";"camille.gallet@stesio.jol";"0159000363"
