
"givenName";"sn";"displayName";"mail";"telephoneNumber"
"Charlotte";"RUIZ";"RUIZ Charlotte";"charlotte.ruiz@stesio.jol";"0159000382"
"Noemie";"SAMSON";"SAMSON Noemie";"noemie.samson@stesio.jol";"0159000392"
"Myrtille";"BONHOMME";"BONHOMME Myrtille";"myrtille.bonhomme@stesio.jol";"0459000402"
"Arthur";"LELEU";"LELEU Arthur";"arthur.leleu@stesio.jol";"0459000412"
"Emilie";"BRIERE";"BRIERE Emilie";"emilie.briere@stesio.jol";"0159000772"
"Charlotte";"AUVRAY";"AUVRAY Charlotte";"charlotte.auvray@stesio.jol";"0159000782"
"Noemie";"PAGE";"PAGE Noemie";"noemie.page@stesio.jol";"0159000792"
"Malcom";"PORTIER";"PORTIER Malcom";"malcom.portier@stesio.jol";"0159000802"
"Arthur";"VERGNE";"VERGNE Arthur";"arthur.vergne@stesio.jol";"0159000812"
"Xavier Bertrand";"DE LA VILLETANAY";"DE LA VILLETANAY Xavier Bertrand";;
"Élodie";"DUPONT-MARTIN";"DUPONT-MARTIN Élodie";"elodie.dupont-martin@stesio.jol";"0259000102"
"Jean-Luc";"O'CONNOR";"O'CONNOR Jean-Luc";"jean-luc.oconnor@stesio.jol";"0259000112"
"Anaïs";"DE LA FONTAINE";"DE LA FONTAINE Anaïs";"anais.delafontaine@stesio.jol";"0259000122"
"Pierre-François";"LEFÈVRE";"LEFÈVRE Pierre-François";"pierre-francois.lefevre@stesio.jol";"0259000132"
"Mélanie";"D'ANGELIS";"D'ANGELIS Mélanie";"melanie.dangelis@stesio.jol";"0259000142"
"Sophie";"VAN DEN BERGHE";"VAN DEN BERGHE Sophie";"sophie.vandenberghe@stesio.jol";"0259000152"
"Michael";"BERNARD";"BERNARD Michael";"michael.bernard@stesio.jol";"0159000002"
"François Xavier";"SAINT-ETIENNE";"SAINT-ETIENNE François Xavier";"francoisxavier.saint-etienne@stesio.jol";"0259000162"
"Cécile";"MÜLLER";"MÜLLER Cécile";"cecile.muller@stesio.jol";"0259000172"
"Marie-Claire";"LO'PEZ";"LO'PEZ Marie-Claire";"marie-claire.lopez@stesio.jol";"0259000192"
"Théo";"VAN HOUTEN";"VAN HOUTEN Théo";"theo.vanhouten@stesio.jol";"0259000202"
"Léa";"DUPUIS-MOREAU";"DUPUIS-MOREAU Léa";"lea.dupuis-moreau@stesio.jol";"0259000212"
"Marc-André";"LOISELLE";"LOISELLE Marc-André";"marc-andre.loiselle@stesio.jol";"0259000302"
"Arthur";"MICHEL";"MICHEL Arthur";"arthur.michel@stesio.jol";"0159000012"
"Sebastien";"DUPONT";"DUPONT Sebastien";"sebastien.dupont@stesio.jol";"0159000022"
"Ines";"MARCHAL";"MARCHAL Ines";"ines.marchal@stesio.jol";"0159000162"
"Emilie";"GILLET";"GILLET Emilie";"emilie.gillet@stesio.jol";"0159000172"
"Charlotte";"GAY";"GAY Charlotte";"charlotte.gay@stesio.jol";"0159000182"
"Noemie";"CORDIER";"CORDIER Noemie";"noemie.cordier@stesio.jol";"0159000192"
"Martin";"BUISSON";"BUISSON Martin";"martin.buisson@stesio.jol";"0159000202"
"Ines";"DOS SANTOS";"DOS SANTOS Ines";"ines.dos santos@stesio.jol";"0159000362"
"Emilie";"LEVY";"LEVY Emilie";"emilie.levy@stesio.jol";"0159000372"
